codigo_municipio_ibge,municipio,uf,tipo_candidato,co_entidade,nomes_historicos_censo,primeiro_ano_registro_censo,ultimo_ano_registro_censo,primeiro_ano_ativa_censo,ultimo_ano_ativa_censo,primeiro_ano_ept_ativa_censo,ultimo_ano_ept_ativa_censo,sigla_unidade_sistec,nome_unidade_sistec,dt_autorizacao_sistec,uf_unidade_sistec,municipio_unidade_sistec,correspondencia_municipio
5212501,Luziânia,GO,MEC_SISTEC,,,,,,,,,IFG,Instituto Federal de Goiás - Campus Luziânia,08/06/2010 11:17:50,GO,Luziânia,exata
5221601,Uruaçu,GO,CENSO_ESCOLAR,52188434,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE GOIAS - CAMPUS URUACU; IFG - CAMPUS URUACU,2009.0,2019.0,2009,2019,2009,2019,,,,,,codigo_ibge
5221601,Uruaçu,GO,MEC_SISTEC,,,,,,,,,IFG,Instituto Federal de Goiás - Campus Uruaçu,13/05/2009 15:28:53,GO,Uruaçu,exata
2100204,Alcântara,MA,CENSO_ESCOLAR,21000492,ESC CAMINHO DAS ESTRELAS; ESCOLA CAMINHO DAS ESTRELAS,2007.0,2019.0,2007,2019,,,,,,,,codigo_ibge
2100204,Alcântara,MA,CENSO_ESCOLAR,21436207,UNID DE ENSINO DESCENTRALIZADA DE ALCANTARA CEFET; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO MARANHAO NUCLEO AVANCADO DE ALCANTARA; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO MARANHAO CAMPUS ALCANTARA; INSTITUTO FEDERAL DO MARANHAO - CAMPUS ALCANTARA; IFMA - CAMPUS ALCANTARA,2008.0,2019.0,2008,2019,2008,2019,,,,,,codigo_ibge
2100204,Alcântara,MA,MEC_SISTEC,,,,,,,,,IFMA,Instituto Federal do Maranhão - Campus Alcântara,06/07/2010 16:16:25,MA,Alcântara,exata
2101202,Bacabal,MA,CENSO_ESCOLAR,21198969,INSTITUTO FEDERAL DO MARANHAO - CAMPUS BACABAL; IFMA - CAMPUS BACABAL,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2101202,Bacabal,MA,MEC_SISTEC,,,,,,,,,IFMA,Instituto Federal do Maranhão - Campus Bacabal,21/04/2011 17:46:05,MA,Bacabal,exata
2101608,Barra do Corda,MA,CENSO_ESCOLAR,21199108,INSTITUTO FEDERAL DO MARANHAO - CAMPUS BARRA DO CORDA; IFMA - CAMPUS BARRA DO CORDA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2101608,Barra do Corda,MA,MEC_SISTEC,,,,,,,,,IFMA,Instituto Federal do Maranhão - Campus Barra do Corda,23/03/2011 11:23:12,MA,Barra do Corda,exata
2101707,Barreirinhas,MA,CENSO_ESCOLAR,21197067,INSTITUTO FEDERAL DO MARANHAO - CAMPUS BARREIRINHAS; IFMA - CAMPUS BARREIRINHAS,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2101707,Barreirinhas,MA,MEC_SISTEC,,,,,,,,,IFMA,Instituto Federal do Maranhão - Campus Barreirinhas,22/03/2011 11:03:27,MA,Barreirinhas,exata
